Kecamatan,Desa,Link
GROGOL,SUMBEREJO,https://docs.google.com/spreadsheets/d/1B7n0exuarGyKh9IGM32IKkbBFZBMD7xo/edit
PAPAR,MINGGIRAN,https://docs.google.com/spreadsheets/d/1roHtcZpPd26ruvgfQ83SMTB1D-txQ3P5/edit
PAPAR,PURWOTENGAH,https://docs.google.com/spreadsheets/d/1rllqpzz6oEbzJIFnbwKqxzhdLRDxRnqo/edit
GROGOL,BAKALAN,https://docs.google.com/spreadsheets/d/1cYUi1Moej2BWLJXmAxSkVI0vbRIePu_U/edit
PAPAR,PEHKULON,https://docs.google.com/spreadsheets/d/1arttcTkpfFlBLjXppgnrgbVgG2qR_1Zh/edit
PAPAR,KWARON,https://docs.google.com/spreadsheets/d/1GeGT9huv4LtmeZtDCYGmdo-VQiESuP3q/edit
GROGOL,GAMBYOK,https://docs.google.com/spreadsheets/d/1-cbhBbiENiqHAuKYujlNZw8D5o_Wv7tb/edit
PLOSOKLATEN,PLOSO_KIDUL,https://docs.google.com/spreadsheets/d/13kqJfTNFKjePqmgKROyyqsCkpdMLC6HW/edit
PLOSOKLATEN,BRENGGOLO,https://docs.google.com/spreadsheets/d/17JPgJNt3Ged6wm3P0WTJmmeUd41-urSw/edit
RINGINREJO,SELODONO,https://docs.google.com/spreadsheets/d/1JbxFjETmCTsXUZUYpvVpIQR5By7zLD5R/edit
PLOSOKLATEN,DONGANTI,https://docs.google.com/spreadsheets/d/1LEnOL2kP4i__3Jjq7EzeAoW8oYWSk-wh/edit
RINGINREJO,SAMBI,https://docs.google.com/spreadsheets/d/1dDgU8ADGywwG1i9jFPMVBgUwq0uxkFDq/edit
PLOSOKLATEN,PANJER,https://docs.google.com/spreadsheets/d/1bugA095aedQleOE5BU8cUSHheBWvNOig/edit
PLOSOKLATEN,KAYUNAN,https://docs.google.com/spreadsheets/d/1dH4lNPfEch3Z-W2-RAL9YkBfcRt3gtrp/edit
RINGINREJO,NAMBAKAN,https://docs.google.com/spreadsheets/d/1kCTi57GDN8OfdCZWd8iHPTSG4g5O_TsK/edit
PLOSOKLATEN,JARAK,https://docs.google.com/spreadsheets/d/1ociyYAEYJgjXfH_CP2rLuTJe9kuZTMnI/edit
RINGINREJO,SUSUHBANGO,https://docs.google.com/spreadsheets/d/1sNYQIE6CM4oxn6sbxzJZ9spQbtI2Fov3/edit
PLOSOKLATEN,GONDANG,https://docs.google.com/spreadsheets/d/1Hml7TniQx6VQSdHblfpvXP895EGwk8jn/edit
RINGINREJO,JEMEKAN,https://docs.google.com/spreadsheets/d/1v0XtHyscEpW2cozbKNXFpEJRrKZNcKaJ/edit
PUNCU,GADUNGAN,https://docs.google.com/spreadsheets/d/1MTdI-um0uKR8OiuJ1l30hrtVaTVNV8y8/edit
RINGINREJO,SRIKATON,https://docs.google.com/spreadsheets/d/1vB8LtZz2tNpOgklCosqcNkoRYYy8Pu7X/edit
PUNCU,SATAK,https://docs.google.com/spreadsheets/d/1YHBBuwNQde8WSRWpzcef7rY3NPnLqFQA/edit
PUNCU,WONOREJO,https://docs.google.com/spreadsheets/d/1_9jR3CU6wIkyEIeVxn7h_lJhdDvTrGKi/edit
RINGINREJO,PURWODADI,https://docs.google.com/spreadsheets/d/19Ew-5hXTi41-JKk60yhoHxiYx6i_y05G/edit
PUNCU,SIDOMULYO,https://docs.google.com/spreadsheets/d/1EJZKCR3la0R__tnrGN0zQpTYoV179vyZ/edit
RINGINREJO,DAWUNG,https://docs.google.com/spreadsheets/d/1BnR6hETqiN_iO5ltxFzp7Lr9YoC9NtlK/edit
PUNCU,WATUGEDE,https://docs.google.com/spreadsheets/d/1M6Kln1dalEfXE37lD3_UcQi8cGk2FVoO/edit
RINGINREJO,DEYENG,https://docs.google.com/spreadsheets/d/1DoriNHIo48-DAFEngHAttuLkMcZfRhej/edit
PUNCU,MANGGIS,https://docs.google.com/spreadsheets/d/1gfTDWHdOsPFVV2QWFWcC4F9TJdAwD-BE/edit
RINGINREJO,RINGINREJO,https://docs.google.com/spreadsheets/d/1PfRUH1ANjvt3bXilwD5MHZ222OtGUjfE/edit
PUNCU,ASMOROBANGUN,https://docs.google.com/spreadsheets/d/1qigZKpOLDAvpaoCIyxC76DqBCDg_fdRp/edit
NGANCAR,JAGUL,https://docs.google.com/spreadsheets/d/1oV-prAAQz0aR5WgSrRAHJz4b8GBPPvKi/edit
BANYAKAN,NGABLAK,https://docs.google.com/spreadsheets/d/1Uda4uq-D1Lx-QUPs44cIfHEpVI7mPUAt/edit
PUNCU,PUNCU,https://docs.google.com/spreadsheets/d/1rkiOn-zUiqJ3_4c_JnY_ZAfiwqS3I8We/edit
RINGINREJO,BATUAJI,https://docs.google.com/spreadsheets/d/1XLi0PuY8mTteSoFOzKZL9l3HCIxhZaJ-/edit
NGANCAR,KUNJANG,https://docs.google.com/spreadsheets/d/1FiyJjUDfafFhXvHUd_KRwCM62NBFLUNX/edit
BANYAKAN,JABON,https://docs.google.com/spreadsheets/d/1_drYC6QJuFBaMn96yN5UJVfZVOHURIy5/edit
NGANCAR,PANDANTOYO,https://docs.google.com/spreadsheets/d/1OHQTZQ3y2FcOI8hrZitremMF_WZ854Ah/edit
BANYAKAN,SENDANG,https://docs.google.com/spreadsheets/d/1djiCc1LxxYGi4KGxPdg48Hlu1TdgyWf-/edit
NGANCAR,SUGIHWARAS,https://docs.google.com/spreadsheets/d/1P2C8KyotsK2rozjnC5WwqBWtqNqawkID/edit
NGANCAR,MARGOURIP,https://docs.google.com/spreadsheets/d/1ZRJLuueL229vCTc4nIkU-KJHfrvY2Xj2/edit
BANYAKAN,MARON,https://docs.google.com/spreadsheets/d/1mSLFp5JlH4w3YDhvgs2mVLmfODc5GbdV/edit
NGANCAR,NGANCAR,https://docs.google.com/spreadsheets/d/1d8M21bbSvZUSdFF4C5d8tyOTna_aWLwD/edit
BANYAKAN,TIRON,https://docs.google.com/spreadsheets/d/1Cgmo85OkZfUo5xhia2mP3aGoL_lGN1nj/edit
NGANCAR,BEDALI,https://docs.google.com/spreadsheets/d/1eVVgrC2175_9LFR3WXKH-jTgMQaF6_AA/edit
BANYAKAN,MANYARAN,https://docs.google.com/spreadsheets/d/1VM1jsZKhlYgk8yfsHGkwaZCYWKeDY7TQ/edit
NGANCAR,BABADAN,https://docs.google.com/spreadsheets/d/1gXv-XdxAPMESHYtkfndh7orXFzeOctmx/edit
NGANCAR,MANGGIS,https://docs.google.com/spreadsheets/d/1qfrDQZZy7ksBBLOxjOeXQ6glvOH1TafT/edit
BANYAKAN,JATIREJO,https://docs.google.com/spreadsheets/d/1XjnGIAAXipNuKlTfejMuxmKYcjxL251P/edit
WATES,JOHO,https://docs.google.com/spreadsheets/d/145CyGHDVaGqeIzo0XLx_-WmHz3O_B_sO/edit
BANYAKAN,PARANG,https://docs.google.com/spreadsheets/d/1zkJsPQv1_CzrcW3DM9zm69D1SHWoKK10/edit
WATES,SIDOMULYO,https://docs.google.com/spreadsheets/d/17bqzJFBUouOmi8TBD-pjiOYF0ElaNRQt/edit
NGANCAR,SEMPU,https://docs.google.com/spreadsheets/d/1DFIfVwT76PjxU_7CTDCw_PXoNwNyztyk/edit
KUNJANG,PAKIS,https://docs.google.com/spreadsheets/d/1GjVJG5XncSSQOzMqH3XsD_LJ1eRqeybb/edit
WATES,SILIR,https://docs.google.com/spreadsheets/d/1Xcq9Vs7OBZ0ORS0cTB7LigrFnio2hEtA/edit
KUNJANG,JUWET,https://docs.google.com/spreadsheets/d/1Ly5w-gHWVpsxnpNRI1wzMOkrvFJSEROg/edit
WATES,JANTI,https://docs.google.com/spreadsheets/d/1aRjXYOmx3Hu1k56nQadTUDaNhl1MKWdr/edit
KUNJANG,WONOREJO,https://docs.google.com/spreadsheets/d/1MPsxF2zmkS8kbMODk7t0vJA0NNilW70P/edit
